# Elements 1e+06
[00000.171 ms] [1.644725] multiplySeq
[00000.038 ms] [1.644725] multiplyOpenmp [16 threads; schedule dynamic 32768]
[00000.036 ms] [1.644725] multiplyOpenmp [16 threads; schedule dynamic 65536]
[00000.032 ms] [1.644725] multiplyOpenmp [16 threads; schedule guided 64]
[00000.037 ms] [1.644725] multiplyOpenmp [16 threads; schedule guided 128]
[00000.038 ms] [1.644725] multiplyOpenmp [16 threads; schedule guided 256]
[00000.038 ms] [1.644725] multiplyOpenmp [16 threads; schedule guided 512]
[00000.037 ms] [1.644725] multiplyOpenmp [16 threads; schedule guided 1024]
[00000.037 ms] [1.644725] multiplyOpenmp [16 threads; schedule guided 2048]
[00000.039 ms] [1.644725] multiplyOpenmp [16 threads; schedule guided 4096]
[00000.037 ms] [1.644725] multiplyOpenmp [16 threads; schedule guided 8192]
[00000.039 ms] [1.644725] multiplyOpenmp [16 threads; schedule guided 16384]
[00000.037 ms] [1.644725] multiplyOpenmp [16 threads; schedule guided 32768]
[00000.038 ms] [1.644725] multiplyOpenmp [16 threads; schedule guided 65536]
[00000.033 ms] [1.644725] multiplyOpenmp [16 threads; schedule auto 64]
[00000.036 ms] [1.644725] multiplyOpenmp [16 threads; schedule auto 128]
[00000.037 ms] [1.644725] multiplyOpenmp [16 threads; schedule auto 256]
[00000.038 ms] [1.644725] multiplyOpenmp [16 threads; schedule auto 512]
[00000.037 ms] [1.644725] multiplyOpenmp [16 threads; schedule auto 1024]
[00000.038 ms] [1.644725] multiplyOpenmp [16 threads; schedule auto 2048]
[00000.037 ms] [1.644725] multiplyOpenmp [16 threads; schedule auto 4096]
[00000.037 ms] [1.644725] multiplyOpenmp [16 threads; schedule auto 8192]
[00000.035 ms] [1.644725] multiplyOpenmp [16 threads; schedule auto 16384]
[00000.037 ms] [1.644725] multiplyOpenmp [16 threads; schedule auto 32768]
[00000.037 ms] [1.644725] multiplyOpenmp [16 threads; schedule auto 65536]
[00000.033 ms] [1.644725] multiplyOpenmp [16 threads; schedule static 64]
[00000.036 ms] [1.644725] multiplyOpenmp [16 threads; schedule static 128]
[00000.039 ms] [1.644725] multiplyOpenmp [16 threads; schedule static 256]
[00000.039 ms] [1.644725] multiplyOpenmp [16 threads; schedule static 512]
[00000.037 ms] [1.644725] multiplyOpenmp [16 threads; schedule static 1024]
[00000.037 ms] [1.644725] multiplyOpenmp [16 threads; schedule static 2048]
[00000.038 ms] [1.644725] multiplyOpenmp [16 threads; schedule static 4096]
[00000.038 ms] [1.644725] multiplyOpenmp [16 threads; schedule static 8192]
[00000.037 ms] [1.644725] multiplyOpenmp [16 threads; schedule static 16384]
[00000.037 ms] [1.644725] multiplyOpenmp [16 threads; schedule static 32768]
[00000.037 ms] [1.644725] multiplyOpenmp [16 threads; schedule static 65536]
[00000.032 ms] [1.644725] multiplyOpenmp [16 threads; schedule dynamic 64]
[00000.037 ms] [1.644725] multiplyOpenmp [16 threads; schedule dynamic 128]
[00000.038 ms] [1.644725] multiplyOpenmp [16 threads; schedule dynamic 256]
[00000.037 ms] [1.644725] multiplyOpenmp [16 threads; schedule dynamic 512]
[00000.035 ms] [1.644725] multiplyOpenmp [16 threads; schedule dynamic 1024]
[00000.037 ms] [1.644725] multiplyOpenmp [16 threads; schedule dynamic 2048]
[00000.037 ms] [1.644725] multiplyOpenmp [16 threads; schedule dynamic 4096]
